,eq,support,num_points
0,exp(-x_1**2/2)/sqrt(2*pi),"{'x_1': {'max': 3.0, 'min': 1.0}}",500
1,exp(-(x_2/x_1)**2/2)/(sqrt(2*pi)*x_1),"{'x_1': {'max': 3.0, 'min': 1.0}, 'x_2': {'max': 3.0, 'min': 1.0}}",500
2,exp(-((x_2-x_2)/x_1)**2/2)/(sqrt(2*pi)*x_1),"{'x_1': {'max': 3.0, 'min': 1.0}, 'x_2': {'max': 3.0, 'min': 1.0}, 'x_3': {'max': 3.0, 'min': 1.0}}",500
3,sqrt((x_2-x_1)**2+(x_4-x_3)**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
4,x_3*x_1*x_2/((x_5-x_4)**2+(x_7-x_6)**2+(x_9-x_8)**2),"{'x_1': {'max': 2.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 2.0, 'min': 1.0}, 'x_4': {'max': 4.0, 'min': 3.0}, 'x_5': {'max': 2.0, 'min': 1.0}, 'x_6': {'max': 4.0, 'min': 3.0}, 'x_7': {'max': 2.0, 'min': 1.0}, 'x_8': {'max': 4.0, 'min': 3.0}, 'x_9': {'max': 2.0, 'min': 1.0}}",500
5,x_1/sqrt(1-x_2**2/x_3**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 10.0, 'min': 3.0}}",500
6,x_1*x_4+x_2*x_5+x_3*x_6,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}, 'x_5': {'max': 5.0, 'min': 1.0}, 'x_6': {'max': 5.0, 'min': 1.0}}",500
7,x_1*x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
8,x_1*x_2*x_4/(4*pi*x_3*x_4**3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
9,x_1*x_3/(4*pi*x_2*x_3**3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
10,x_1*x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
11,x_1*(x_2+x_3*x_4*sin(x_5)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}, 'x_5': {'max': 5.0, 'min': 1.0}}",500
12,1/2*x_1*(x_2**2+x_3**2+x_4**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
13,x_5*x_1*x_2*(1/x_4-1/x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}, 'x_5': {'max': 5.0, 'min': 1.0}}",500
14,x_1*x_2*x_3,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
15,1/2*x_2_1*x_2**2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
16,(x_1-x_2*x_4)/sqrx_4(1-x_2**2/x_3**2),"{'x_1': {'max': 10.0, 'min': 5.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 20.0, 'min': 3.0}, 'x_4': {'max': 2.0, 'min': 1.0}}",500
17,(x_4-x_3*x_1/x_2**2)/sqrx_4(1-x_3**2/x_2**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 10.0, 'min': 3.0}, 'x_3': {'max': 2.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
18,x_1*x_2/sqrt(1-x_2**2/x_3**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 10.0, 'min': 3.0}}",500
19,(x_3+x_2)/(1+x_3*x_2/x_1**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
20,(x_1*x_3+x_2*x_4)/(x_1+x_2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
21,x_1*x_2*sin(x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 0.0}}",500
22,x_1*x_2*x_3*sin(x_4),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
23,1/2*x_4_1*(ox_4_1ega**2+ox_4_1ega_0**2)*1/2*x_4**2,"{'x_1': {'max': 3.0, 'min': 1.0}, 'x_2': {'max': 3.0, 'min': 1.0}, 'x_3': {'max': 3.0, 'min': 1.0}, 'x_4': {'max': 3.0, 'min': 1.0}}",500
24,x_1/x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
25,arcsix_1(x_1*six_1(x_2)),"{'x_1': {'max': 1.0, 'min': 0.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
26,1/(1/x_1+x_3/x_2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
27,x_1/x_2,"{'x_1': {'max': 10.0, 'min': 1.0}, 'x_2': {'max': 10.0, 'min': 1.0}}",500
28,sqrt(x_1**2+x_2**2-2*x_1*x_2*cos(x_3-x_4)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
29,x_1*six_3(x_3*x_2/2)**2/six_3(x_2/2)**2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
30,arcsix_3(x_1/(x_3*x_2)),"{'x_1': {'max': 2.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 2.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
31,x_1**2*x_2**2/(6*pi*x_3*x_4**3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
32,(1/2*x_1*x_2*x_3**2)*(8*pi*x_4**2/3)*(x_5**4/(x_5**2-x_5_0**2)**2),"{'x_1': {'max': 2.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 2.0, 'min': 1.0}, 'x_4': {'max': 2.0, 'min': 1.0}, 'x_5': {'max': 2.0, 'min': 1.0}, 'x_6': {'max': 5.0, 'min': 3.0}}",500
33,x_1*x_2*x_3/x_4,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
34,x_3/(1-x_2/x_1),"{'x_1': {'max': 10.0, 'min': 3.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
35,(1+x_2/x_1)/sqrt(1-x_2**2/x_1**2)*x_3,"{'x_1': {'max': 10.0, 'min': 3.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
36,(x_2/(2*pi))*x_1,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
37,x_1+x_2+2*sqrt(x_1*x_2)*cos(x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
38,4*pi*x_4*(x_3/(2*pi))**2/(x_1*x_2**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
39,3/2*x_1*x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
40,1/(x_1-1)*x_2*x_3,"{'x_1': {'max': 5.0, 'min': 2.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
41,x_1*x_4*x_2/x_3,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
42,x_3_1*ex_3p(-x_3_2*x_5*x_3/(x_6*x_4)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}, 'x_5': {'max': 5.0, 'min': 1.0}, 'x_6': {'max': 5.0, 'min': 1.0}}",500
43,x_3/(2*pi)*x_1**3/(pi**2*x_5**2*(exp((x_3/(2*pi))*x_1/(x_4*x_2))-1)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}, 'x_5': {'max': 5.0, 'min': 1.0}}",500
44,x_1*x_2*x_3/x_4,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
45,x_1*x_3*x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
46,1/(x_1-1)*x_2*x_4/x_3,"{'x_1': {'max': 5.0, 'min': 2.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
47,x_1*x_2*x_3*lx_1(x_5/x_4),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}, 'x_5': {'max': 5.0, 'min': 1.0}}",500
48,sqrt(x_1*x_2/x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
49,x_1*x_3**2/sqrt(1-x_2**2/x_3**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 10.0, 'min': 3.0}}",500
50,x_1*(cos(x_2*x_3)+x_4*cos(x_2*x_3)**2),"{'x_1': {'max': 3.0, 'min': 1.0}, 'x_2': {'max': 3.0, 'min': 1.0}, 'x_3': {'max': 3.0, 'min': 1.0}, 'x_4': {'max': 3.0, 'min': 1.0}}",500
51,x_1*(x_3-x_2)*x_4/x_5,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}, 'x_5': {'max': 5.0, 'min': 1.0}}",500
52,x_1/(4*pi*x_2**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
53,x_1/(4*pi*x_2*x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
54,1/(4*pi*x_1)*x_2*cos(x_3)/x_4**2,"{'x_1': {'max': 3.0, 'min': 1.0}, 'x_2': {'max': 3.0, 'min': 1.0}, 'x_3': {'max': 3.0, 'min': 1.0}, 'x_4': {'max': 3.0, 'min': 1.0}}",500
55,x_4_2/(4*pi*x_4_1)*3*x_6/x_4_3**5*sqx_4_3t(x_4**2+x_5**2),"{'x_1': {'max': 3.0, 'min': 1.0}, 'x_2': {'max': 3.0, 'min': 1.0}, 'x_3': {'max': 3.0, 'min': 1.0}, 'x_4': {'max': 3.0, 'min': 1.0}, 'x_5': {'max': 3.0, 'min': 1.0}, 'x_6': {'max': 3.0, 'min': 1.0}}",500
56,x_2/(4*pi*x_1)*3*cos(x_3)*sin(x_3)/x_4**3,"{'x_1': {'max': 3.0, 'min': 1.0}, 'x_2': {'max': 3.0, 'min': 1.0}, 'x_3': {'max': 3.0, 'min': 1.0}, 'x_4': {'max': 3.0, 'min': 1.0}}",500
57,3/5*x_1**2/(4*pi*x_2*x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
58,x_1*x_2**2/2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
59,x_1/x_2*1/(1+x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
60,x_1*x_2/(x_3*(ox_3ega_0**2-ox_3ega**2)),"{'x_1': {'max': 3.0, 'min': 1.0}, 'x_2': {'max': 3.0, 'min': 1.0}, 'x_3': {'max': 3.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 3.0}, 'x_5': {'max': 2.0, 'min': 1.0}}",500
61,x_1*(1+x_5*x_6*cos(x_4)/(x_2*x_3)),"{'x_1': {'max': 3.0, 'min': 1.0}, 'x_2': {'max': 3.0, 'min': 1.0}, 'x_3': {'max': 3.0, 'min': 1.0}, 'x_4': {'max': 3.0, 'min': 1.0}, 'x_5': {'max': 3.0, 'min': 1.0}, 'x_6': {'max': 3.0, 'min': 1.0}}",500
62,x_1*x_2**2*x_3/(3*x_4*x_5),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}, 'x_5': {'max': 5.0, 'min': 1.0}}",500
63,x_1*x_2/(1-(x_1*x_2/3))*epsilox_1*x_4,"{'x_1': {'max': 1.0, 'min': 0.0}, 'x_2': {'max': 1.0, 'min': 0.0}, 'x_3': {'max': 2.0, 'min': 1.0}, 'x_4': {'max': 2.0, 'min': 1.0}}",500
64,1+x_1*x_2/(1-(x_1*x_2/3)),"{'x_1': {'max': 1.0, 'min': 0.0}, 'x_2': {'max': 1.0, 'min': 0.0}}",500
65,1/(4*pi*x_1*x_2**2)*2*x_3/x_4,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
66,x_1/sqrt(1-x_2**2/x_3**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 10.0, 'min': 3.0}}",500
67,x_1*x_2/sqrt(1-x_2**2/x_3**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 10.0, 'min': 3.0}}",500
68,-x_1*x_2*cos(x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
69,-x_1*x_2*cos(x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
70,x_1/(4*pi*x_2*x_3*(1-x_4/x_5)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 2.0, 'min': 1.0}, 'x_5': {'max': 10.0, 'min': 3.0}}",500
71,sqrt(x_1**2/x_2**2-pi**2/x_3**2),"{'x_1': {'max': 6.0, 'min': 4.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 4.0, 'min': 2.0}}",500
72,x_1*x_2*x_3**2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
73,x_1*x_2**2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
74,x_1*x_2/(2*pi*x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
75,x_1*x_2*x_3/2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
76,x_1*x_2*x_3/(2*x_4),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
77,x_1*x_2/(4*pi*x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
78,x_1*x_4*x_5*x_3/(x_2/(2*pi)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}, 'x_5': {'max': 5.0, 'min': 1.0}}",500
79,x_1/(exp(x_4*x_5/(x_2*x_3))+exp(-x_4*x_5/(x_2*x_3))),"{'x_1': {'max': 3.0, 'min': 1.0}, 'x_2': {'max': 3.0, 'min': 1.0}, 'x_3': {'max': 3.0, 'min': 1.0}, 'x_4': {'max': 3.0, 'min': 1.0}, 'x_5': {'max': 3.0, 'min': 1.0}}",500
80,x_1*x_2*tanh(x_2*x_3/(x_4*x_5)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}, 'x_5': {'max': 5.0, 'min': 1.0}}",500
81,x_1*x_2/(x_3*x_4)+(x_1*x_5)/(x_6*x_7**2*x_3*x_4)*x_8,"{'x_1': {'max': 3.0, 'min': 1.0}, 'x_2': {'max': 3.0, 'min': 1.0}, 'x_3': {'max': 3.0, 'min': 1.0}, 'x_4': {'max': 3.0, 'min': 1.0}, 'x_5': {'max': 3.0, 'min': 1.0}, 'x_6': {'max': 3.0, 'min': 1.0}, 'x_7': {'max': 3.0, 'min': 1.0}, 'x_8': {'max': 3.0, 'min': 1.0}}",500
82,x_1*(1+x_3)*x_2,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
83,x_4_1*x_4_2*x_4/x_4_3,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
84,x_1/(2*(1+x_2)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
85,1/(exp((x_1/(2*pi))*x_2/(x_3*x_4))-1),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
86,(x_1/(2*pi))*x_2/(exp((x_1/(2*pi))*x_2/(x_3*x_4))-1),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
87,2*x_1*x_2/(x_3/(2*pi)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
88,sin(x_1*x_2/(x_3/(2*pi)))**2,"{'x_1': {'max': 2.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 4.0, 'min': 1.0}}",500
89,(x_1*x_2*x_3/(x_4/(2*pi)))*sin((x_5-x_5_0)*x_3/2)**2/((x_5-x_5_0)*x_3/2)**2,"{'x_1': {'max': 3.0, 'min': 1.0}, 'x_2': {'max': 3.0, 'min': 1.0}, 'x_3': {'max': 3.0, 'min': 1.0}, 'x_4': {'max': 3.0, 'min': 1.0}, 'x_5': {'max': 5.0, 'min': 1.0}, 'x_6': {'max': 5.0, 'min': 1.0}}",500
90,x_1*sqrt(x_2**2+x_3**2+x_4**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
91,x_1*(x_2/(2*pi)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}}",500
92,2*x_1*x_2**2*x_3/(x_4/(2*pi)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500
93,x_1*(exp(x_2*x_3/(x_4*x_5))-1),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 2.0, 'min': 1.0}, 'x_3': {'max': 2.0, 'min': 1.0}, 'x_4': {'max': 2.0, 'min': 1.0}, 'x_5': {'max': 2.0, 'min': 1.0}}",500
94,2*x_1*(1-cos(x_2*x_3)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
95,(x_1/(2*pi))**2/(2*x_2*x_3**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
96,2*pi*x_1/(x_2*x_3),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
97,x_1*(1+x_2*cos(x_3)),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}}",500
98,-x_1*x_2**4/(2*(4*pi*epsilox_4)**2*(x_3/(2*pi))**2)*(1/x_4**2),"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}, 'x_5': {'max': 5.0, 'min': 1.0}}",500
99,-x_1*x_2*x_3/x_4,"{'x_1': {'max': 5.0, 'min': 1.0}, 'x_2': {'max': 5.0, 'min': 1.0}, 'x_3': {'max': 5.0, 'min': 1.0}, 'x_4': {'max': 5.0, 'min': 1.0}}",500